"mapping_id","entity_type","legacy_url","legacy_path","legacy_slug","proposed_new_path","new_content_key","migration_action","redirect_status","mapping_status","note","source_sitemap","legacy_lastmod"
"MAP-0025","course","https://academy.octopus.be/nl/Cursussen/lijsten-in-octopus/","/nl/Cursussen/lijsten-in-octopus/","lijsten-in-octopus","/nl/cursussen/lijsten-in-octopus/","course:lijsten-in-octopus","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:25:15+00:00"
"MAP-0026","course","https://academy.octopus.be/nl/Cursussen/menu-beheer/","/nl/Cursussen/menu-beheer/","menu-beheer","/nl/cursussen/menu-beheer/","course:menu-beheer","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:28:48+00:00"
"MAP-0027","course","https://academy.octopus.be/nl/Cursussen/met-het-pakket-starten/","/nl/Cursussen/met-het-pakket-starten/","met-het-pakket-starten","/nl/cursussen/met-het-pakket-starten/","course:met-het-pakket-starten","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:32:09+00:00"
"MAP-0028","course","https://academy.octopus.be/nl/Cursussen/octopus-webinars/","/nl/Cursussen/octopus-webinars/","octopus-webinars","/nl/cursussen/octopus-webinars/","course:octopus-webinars","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:16:15+00:00"
"MAP-0029","course","https://academy.octopus.be/nl/Cursussen/ondernemer-facturatie/","/nl/Cursussen/ondernemer-facturatie/","ondernemer-facturatie","/nl/cursussen/ondernemer-facturatie/","course:ondernemer-facturatie","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:26:26+00:00"
"MAP-0030","course","https://academy.octopus.be/nl/Cursussen/peppol/","/nl/Cursussen/peppol/","peppol","/nl/cursussen/peppol/","course:peppol","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2026-01-16T10:03:11+00:00"
"MAP-0031","lesson","https://academy.octopus.be/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing/","/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing/","aangiftes-btw-btw-listing-en-ic-listing","/nl/cursussen/lijsten-in-octopus/lessons/aangiftes-btw-btw-listing-en-ic-listing/","lesson:aangiftes-btw-btw-listing-en-ic-listing","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:14:11+00:00"
"MAP-0032","lesson","https://academy.octopus.be/nl/lessons/aankoopfacturen/","/nl/lessons/aankoopfacturen/","aankoopfacturen","/nl/cursussen/klantenportaal/lessons/aankoopfacturen/","lesson:aankoopfacturen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T11:18:08+00:00"
"MAP-0033","lesson","https://academy.octopus.be/nl/lessons/aanpassen-factuuropmaak/","/nl/lessons/aanpassen-factuuropmaak/","aanpassen-factuuropmaak","/nl/cursussen/klantenportaal/lessons/aanpassen-factuuropmaak/","lesson:aanpassen-factuuropmaak","migrate+redirect","301","todo","Koppeling op basis van legacy media prefix Klantenportaal_; geen parent-course class in body.","sfwd-lessons-sitemap.xml","2025-12-09T13:25:34+00:00"
"MAP-0034","lesson","https://academy.octopus.be/nl/lessons/aanpassen-factuuropmaak-2/","/nl/lessons/aanpassen-factuuropmaak-2/","aanpassen-factuuropmaak-2","/nl/cursussen/klantenportaal/lessons/aanpassen-factuuropmaak-2/","lesson:aanpassen-factuuropmaak-2","migrate+redirect","301","todo","Koppeling op basis van legacy media prefix Klantenportaal_; geen parent-course class in body.","sfwd-lessons-sitemap.xml","2026-02-02T14:59:20+00:00"
"MAP-0035","lesson","https://academy.octopus.be/nl/lessons/activatie-van-een-coda-mandaat/","/nl/lessons/activatie-van-een-coda-mandaat/","activatie-van-een-coda-mandaat","/nl/cursussen/coda/lessons/activatie-van-een-coda-mandaat/","lesson:activatie-van-een-coda-mandaat","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-11-26T13:54:37+00:00"
"MAP-0036","lesson","https://academy.octopus.be/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/","/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/","afdrukken-en-verzenden-leveringsnotas-en-facturen","/nl/cursussen/ondernemer-facturatie/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/","lesson:afdrukken-en-verzenden-leveringsnotas-en-facturen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:03:35+00:00"
"MAP-0037","lesson","https://academy.octopus.be/nl/lessons/afpunten-rekeningen/","/nl/lessons/afpunten-rekeningen/","afpunten-rekeningen","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/afpunten-rekeningen/","lesson:afpunten-rekeningen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:38:29+00:00"
"MAP-0038","lesson","https://academy.octopus.be/nl/lessons/afpunten-relaties/","/nl/lessons/afpunten-relaties/","afpunten-relaties","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/afpunten-relaties/","lesson:afpunten-relaties","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:37:10+00:00"
"MAP-0039","lesson","https://academy.octopus.be/nl/lessons/afpunten-wachtrekening/","/nl/lessons/afpunten-wachtrekening/","afpunten-wachtrekening","/nl/cursussen/coda/lessons/afpunten-wachtrekening/","lesson:afpunten-wachtrekening","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:26:30+00:00"
"MAP-0040","lesson","https://academy.octopus.be/nl/lessons/afpuntingen/","/nl/lessons/afpuntingen/","afpuntingen","/nl/cursussen/lijsten-in-octopus/lessons/afpuntingen/","lesson:afpuntingen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:23:51+00:00"
"MAP-0041","lesson","https://academy.octopus.be/nl/lessons/alles-over-peppol/","/nl/lessons/alles-over-peppol/","alles-over-peppol","/nl/cursussen/peppol/lessons/alles-over-peppol/","lesson:alles-over-peppol","migrate+redirect","301","todo","Bevestigd via canonical en course links naar peppol.","sfwd-lessons-sitemap.xml","2025-07-30T09:06:34+00:00"
"MAP-0042","lesson","https://academy.octopus.be/nl/lessons/artikels-en-artikelgroepen/","/nl/lessons/artikels-en-artikelgroepen/","artikels-en-artikelgroepen","/nl/cursussen/ondernemer-facturatie/lessons/artikels-en-artikelgroepen/","lesson:artikels-en-artikelgroepen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:30:37+00:00"
"MAP-0043","lesson","https://academy.octopus.be/nl/lessons/automatische-diversen/","/nl/lessons/automatische-diversen/","automatische-diversen","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/automatische-diversen/","lesson:automatische-diversen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:39:35+00:00"
"MAP-0044","lesson","https://academy.octopus.be/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms/","/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms/","backup-nemen-van-documenten-bewaard-in-dms","/nl/cursussen/documenten-doorsturen-via-dms/lessons/backup-nemen-van-documenten-bewaard-in-dms/","lesson:backup-nemen-van-documenten-bewaard-in-dms","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:37:08+00:00"
"MAP-0045","lesson","https://academy.octopus.be/nl/lessons/balansen/","/nl/lessons/balansen/","balansen","/nl/cursussen/lijsten-in-octopus/lessons/balansen/","lesson:balansen","migrate+redirect","301","todo","Afgeleid uit thematische cluster met balansen-beknopt/uitgebreid in lijsten-in-octopus.","sfwd-lessons-sitemap.xml","2025-03-27T16:19:13+00:00"
"MAP-0046","lesson","https://academy.octopus.be/nl/lessons/balansen-beknopt/","/nl/lessons/balansen-beknopt/","balansen-beknopt","/nl/cursussen/lijsten-in-octopus/lessons/balansen-beknopt/","lesson:balansen-beknopt","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:04:46+00:00"
"MAP-0047","lesson","https://academy.octopus.be/nl/lessons/balansen-uitgebreid/","/nl/lessons/balansen-uitgebreid/","balansen-uitgebreid","/nl/cursussen/lijsten-in-octopus/lessons/balansen-uitgebreid/","lesson:balansen-uitgebreid","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:17:38+00:00"
"MAP-0048","lesson","https://academy.octopus.be/nl/lessons/beheer-afschrijvingen/","/nl/lessons/beheer-afschrijvingen/","beheer-afschrijvingen","/nl/cursussen/menu-beheer/lessons/beheer-afschrijvingen/","lesson:beheer-afschrijvingen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:36:13+00:00"
"MAP-0049","lesson","https://academy.octopus.be/nl/lessons/beheer-leningen/","/nl/lessons/beheer-leningen/","beheer-leningen","/nl/cursussen/menu-beheer/lessons/beheer-leningen/","lesson:beheer-leningen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:35:07+00:00"
"MAP-0050","lesson","https://academy.octopus.be/nl/lessons/beheer-postcodes-en-landcodes/","/nl/lessons/beheer-postcodes-en-landcodes/","beheer-postcodes-en-landcodes","/nl/cursussen/menu-beheer/lessons/beheer-postcodes-en-landcodes/","lesson:beheer-postcodes-en-landcodes","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:37:28+00:00"
"MAP-0051","lesson","https://academy.octopus.be/nl/lessons/beheer-velden/","/nl/lessons/beheer-velden/","beheer-velden","/nl/cursussen/menu-beheer/lessons/beheer-velden/","lesson:beheer-velden","migrate+redirect","301","todo","Bevestigd via canonical en parent course class (menu-beheer).","sfwd-lessons-sitemap.xml","2025-03-27T16:38:28+00:00"
"MAP-0052","lesson","https://academy.octopus.be/nl/lessons/boeken-bankuittreksel/","/nl/lessons/boeken-bankuittreksel/","boeken-bankuittreksel","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-bankuittreksel/","lesson:boeken-bankuittreksel","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:02:31+00:00"
"MAP-0053","lesson","https://academy.octopus.be/nl/lessons/boeken-diversen/","/nl/lessons/boeken-diversen/","boeken-diversen","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-diversen/","lesson:boeken-diversen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:40:46+00:00"
"MAP-0054","lesson","https://academy.octopus.be/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/","/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/","boeken-erelonen-en-koppelen-met-fiche-281-50","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/","lesson:boeken-erelonen-en-koppelen-met-fiche-281-50","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:50:21+00:00"
"MAP-0055","lesson","https://academy.octopus.be/nl/lessons/boeken-kas/","/nl/lessons/boeken-kas/","boeken-kas","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-kas/","lesson:boeken-kas","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:56:06+00:00"
"MAP-0056","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/","/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/","boeken-van-aankoopfactuur-met-autofiscaliteit","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/","lesson:boeken-van-aankoopfactuur-met-autofiscaliteit","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:54:05+00:00"
"MAP-0057","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/","/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/","boeken-van-aankoopfactuur-met-gespreide-kosten","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/","lesson:boeken-van-aankoopfactuur-met-gespreide-kosten","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:51:36+00:00"
