url,path,content_type,source_sitemap,lastmod,suspected_test_page,has_uppercase_path,potential_duplicate_group
https://academy.octopus.be/nl/lessons/activatie-van-een-coda-mandaat/,/nl/lessons/activatie-van-een-coda-mandaat/,lesson,sfwd-lessons-sitemap.xml,2025-11-26T13:54:37+00:00,no,no,/nl/lessons/activatie-van-een-coda-mandaat
https://academy.octopus.be/nl/lessons/alles-over-peppol/,/nl/lessons/alles-over-peppol/,lesson,sfwd-lessons-sitemap.xml,2025-07-30T09:06:34+00:00,no,no,/nl/lessons/alles-over-peppol
https://academy.octopus.be/nl/lessons/dms-via-de-unieke-e-mailadressen/,/nl/lessons/dms-via-de-unieke-e-mailadressen/,lesson,sfwd-lessons-sitemap.xml,2025-04-01T15:02:32+00:00,no,no,/nl/lessons/dms-via-de-unieke-e-mailadressen
https://academy.octopus.be/nl/lessons/eindklanten/,/nl/lessons/eindklanten/,lesson,sfwd-lessons-sitemap.xml,2025-04-01T14:53:54+00:00,no,no,/nl/lessons/eindklanten
https://academy.octopus.be/nl/lessons/wachtwoord-wijzigen/,/nl/lessons/wachtwoord-wijzigen/,lesson,sfwd-lessons-sitemap.xml,2025-04-01T12:52:34+00:00,no,no,/nl/lessons/wachtwoord-wijzigen
https://academy.octopus.be/nl/lessons/gebruikers/,/nl/lessons/gebruikers/,lesson,sfwd-lessons-sitemap.xml,2025-04-01T12:52:25+00:00,no,no,/nl/lessons/gebruikers
https://academy.octopus.be/nl/lessons/rappels/,/nl/lessons/rappels/,lesson,sfwd-lessons-sitemap.xml,2025-03-28T10:39:48+00:00,no,no,/nl/lessons/rappels
https://academy.octopus.be/nl/lessons/doorboeken/,/nl/lessons/doorboeken/,lesson,sfwd-lessons-sitemap.xml,2025-03-28T10:38:07+00:00,no,no,/nl/lessons/doorboeken
https://academy.octopus.be/nl/lessons/verkoopfacturen-en-creditnotas/,/nl/lessons/verkoopfacturen-en-creditnotas/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:59:59+00:00,no,no,/nl/lessons/verkoopfacturen-en-creditnotas
https://academy.octopus.be/nl/lessons/een-aankoopfactuur-en-creditnota-boeken/,/nl/lessons/een-aankoopfactuur-en-creditnota-boeken/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:58:54+00:00,no,no,/nl/lessons/een-aankoopfactuur-en-creditnota-boeken
https://academy.octopus.be/nl/lessons/extra-functies-bij-boeken-van-aankoopfacturen/,/nl/lessons/extra-functies-bij-boeken-van-aankoopfacturen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:56:44+00:00,no,no,/nl/lessons/extra-functies-bij-boeken-van-aankoopfacturen
https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-investering/,/nl/lessons/boeken-van-aankoopfactuur-met-investering/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:55:37+00:00,no,no,/nl/lessons/boeken-van-aankoopfactuur-met-investering
https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/,/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:54:05+00:00,no,no,/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit
